Capa1,Capa2,Razon,TrainMSE,ValidMSE,TestMSE
20,40,0.55,0.0111814147665295,0.0114133731863233,0.0119334690619802
30,10,0.55,0.0100343352313755,0.0112788337472461,0.0120203671335467
30,20,0.55,0.0112266518900718,0.011573878865561,0.0120966748087588
30,30,0.55,0.0112298662299739,0.0117799961454146,0.0123208011193211
30,40,0.55,0.0116324394006942,0.0115658859977813,0.0122533269084606
40,10,0.55,0.0103552799674709,0.0117444494454772,0.0119010134288993
40,20,0.55,0.0100495369650799,0.0109971623860198,0.0115484073836234
40,30,0.55,0.00946508784543251,0.011439586327787,0.012586054533214
40,40,0.55,0.0103684422186109,0.0111690972283243,0.0118272697744001
10,10,0.65,0.0115067842913245,0.0120330737002617,0.012950772490084
10,20,0.65,0.0112603437934773,0.0112408968727117,0.0123601412310461
10,30,0.65,0.0110344817681725,0.0112933172790412,0.0123248101989291
10,40,0.65,0.00998511208426116,0.0119325537752132,0.0121948771210383
20,10,0.65,0.00996219104305966,0.0109034356581765,0.011939463815127
20,20,0.65,0.00954658131674583,0.0115389519644971,0.0117480511448889
20,30,0.65,0.0103537024355448,0.0119029118347195,0.0124866036372503
20,40,0.65,0.0112219600043981,0.0115388286722772,0.0120904243348522
30,10,0.65,0.0104641438830716,0.0111125448031726,0.0121887077435465
30,20,0.65,0.0102762557364276,0.0109735225446318,0.0118805418129851
30,30,0.65,0.0108359369132984,0.0121022988802636,0.0121384498826199
30,40,0.65,0.00897992027232749,0.0116770671301148,0.0127277006522683
40,10,0.65,0.0100310199777042,0.0111388369339473,0.012578754103344
40,20,0.65,0.0105523684998072,0.0115564926969812,0.0121809184832305
40,30,0.65,0.0110357978013771,0.0114737612176126,0.0123124763969282
40,40,0.65,0.00921846001793973,0.0109638652747205,0.011973699993323
10,10,0.75,0.0115683856982688,0.0124262184835958,0.0129673382357335
10,20,0.75,0.0110128367662351,0.0116495219771573,0.0125435184811551
10,30,0.75,0.010326242269565,0.0114583779440619,0.0124439112687787
10,40,0.75,0.00961370987571492,0.0116634904060106,0.0126365558130875
20,10,0.75,0.00999853983114041,0.0111826072116837,0.0118529605387657
20,20,0.75,0.0110889363230968,0.0117088795560814,0.0123600792786581
20,30,0.75,0.0117122725070348,0.0117473418146634,0.0124192341344241
20,40,0.75,0.0108071310741609,0.0116119507049602,0.0119906404070717
30,10,0.75,0.00986052845115349,0.0118000713935751,0.0117136007237999
30,20,0.75,0.0100004364261203,0.0111122417700148,0.0121860032623844
30,30,0.75,0.0110014384098793,0.0118230708100134,0.0122958743149451
30,40,0.75,0.00988738489806547,0.0118472317443549,0.0126599166114314
40,10,0.75,0.00931334916445145,0.0107278029822744,0.0118916357490869
40,20,0.75,0.0119449811174812,0.0123859023290774,0.0127427257958337
40,30,0.75,0.0102228109342712,0.0114327602678867,0.0122306413445933
40,40,0.75,0.010496528123095,0.0116168507173796,0.0121898806249683
10,10,0.85,0.0114785852099099,0.0119133018061745,0.0124682772409203
10,20,0.85,0.0126170700786862,0.0125544568222109,0.0131184496766868
10,30,0.85,0.0114885829900886,0.0121658189898001,0.0125596157548491
10,40,0.85,0.0114419844272276,0.0120674796592299,0.0125501876760098
20,10,0.85,0.0104929587619381,0.0111716706213797,0.0122469499842417
20,20,0.85,0.0100433383177726,0.0112121197978013,0.0120314008318288
20,30,0.85,0.0103387457189065,0.0114061379447382,0.0121078054984945
20,40,0.85,0.0102051335820831,0.0118359937094114,0.0120865922059654
30,10,0.85,0.0107669865572914,0.0112358619439151,0.0121613489397211
30,20,0.85,0.00997195234872103,0.0115263864764548,0.0124612946152451
30,30,0.85,0.011666898959641,0.0118773050716268,0.0125240624126859
30,40,0.85,0.00936460377173551,0.0115078899586952,0.0123915849985141
40,10,0.85,0.011662221485806,0.0119635692317457,0.0124009668899272
40,20,0.85,0.0113989158803923,0.0119678893535378,0.01256125217239
40,30,0.85,0.0114796336973231,0.0120529343134727,0.0125229753904041
40,40,0.85,0.0111835071408416,0.0112486597892494,0.011960865722036
10,10,0.95,0.0119829636362618,0.0126057416327326,0.0126704504689468
10,20,0.95,0.0114635216549561,0.0116923401485721,0.0123358292223456
10,30,0.95,0.0118864444000571,0.0121436158233206,0.012816267817529
10,40,0.95,0.0107119100254639,0.0111771698833669,0.0121377315733947
20,10,0.95,0.0103675043946924,0.012086202038692,0.0126931364807279
20,20,0.95,0.00950230294948511,0.011339179934864,0.0116620393513004
20,30,0.95,0.0103530321065485,0.0117433406381459,0.0126731520999726
20,40,0.95,0.00964321457849308,0.0119308274938398,0.0120007703650211
30,10,0.95,0.00996694865413597,0.0114019989494152,0.0122760835988731
30,20,0.95,0.0111643174908072,0.0115879759321946,0.0122401697317221
30,30,0.95,0.0114814843728057,0.0115800256020541,0.0123728635640648
30,40,0.95,0.010165536689535,0.0116792165691058,0.0126490479578255
40,10,0.95,0.0117489374052761,0.0120418517300805,0.0124874974642333
40,20,0.95,0.0110165558066061,0.0120761134060968,0.0127906280029594
40,30,0.95,0.0103114562904767,0.0109981151936335,0.0120424173913536
40,40,0.95,0.0111517212432358,0.0112773914002075,0.0119387094289566
