meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
0,497831109036481;0,679870025856318;0,666754454698997;0,624282402331396;0,823465217536659;0,763222823065554;0,560213638169048;0,461353505786398;0,154845177781519;0,119699561021453;0,31777373694145;0,487029452633004;nube
0,254433843109702;0,247088771738089;0,50931920713405;0,89241136843921;0,520749036824794;0,443692977908705;0,289733497958602;0,653310615297537;0,254823579031866;0,052704417022258;0,485405700281072;0,094662246188688;nube
0,259879796226233;0,29104673631429;0,487478609896481;0,837235367136839;0,557347098631661;0,501412634009997;0,35676896112688;0,682979892451208;0,264030258657782;0,098923533323355;0,344245316784331;0,075677784435129;nube
0,132890296069631;0,151655286246024;0,363247236254282;0,805188698551918;0,444444595321815;0,462190329856584;0,399695777004649;0,597755126806727;0,215852291763393;0,070062350166979;0,3532285004315;0,042064885160772;nube
0,458274307921103;0,694529877622295;0,720249082889306;0,731814614452071;0,803847526853699;0,83669875213493;0,71209047560962;0,624828632710877;0,464573798845913;0,044940704770364;0,535194145305967;0,505493791358775;nube
0,459973889372379;0,694977106541258;0,614979449577574;0,668260824974918;0,796671249990813;0,835131012802018;0,716483291579076;0,594985359835367;0,301078917069305;0,06769446700545;0,471453162171627;0,423899616803155;nube
0,746685323295732;0,604127459240999;0,704960703292225;0,277524005645385;0,284755807174937;0,325301734802999;0,313975839596578;0,509238505895476;0,213603980972692;0,142171140289103;0,428645462190249;0,127820037547428;nube
0,631389779983283;0,536816440379442;0,68479332480486;0,425820449885362;0,359683901766037;0,37710311818567;0,331841776715448;0,565545094808096;0,261222421202829;0,195295151115113;0,403947117285829;0,164488654550287;nube
0,633474183563381;0,531944216826307;0,685130011921437;0,446398228839873;0,379159071376968;0,367182445565998;0,294423715820408;0,709816507977932;0,47884342947328;0,255353501645249;0,488613493561251;0,201547364356591;nube
0,576109675956423;0,428517672599677;0,615105416289417;0,38070457876367;0,269569844240464;0,289768585943494;0,265326084751836;0,540941179690471;0,165255945183394;0,150246480687643;0,356933482456393;0,20369286838428;nube
0,34201352743399;0,421178493983379;0,561710628141839;0,782397891155971;0,59513012180281;0,585764138332915;0,470515610174034;0,478772912215601;0,106877245972343;0,297887063015137;0,221728630176177;0,2095442433926;nube
0,515425861793662;0,538143218831916;0,599600502811979;0,408853792884375;0,482260194661752;0,531051780971527;0,485548044691578;0,510166008814301;0,190115765896765;0,148830658320594;0,268762501352138;0,166114036615399;nube
0,266790966870244;0,507728061918061;0,508125554513081;0,822314003740875;0,784627538121157;0,812055589192809;0,687082801829629;0,510162173434108;0,107486092616119;0,09089236069363;0,372833052092037;0,577725766327167;nube
0,767316408206641;0,719795734321431;0,704568432718044;0,204131503945572;0,467375562178117;0,468923189934965;0,388758756720671;0,451333430020872;0,206192378532544;0,451927064291095;0,171766262700942;0,218906442979827;nube
0,554500622667982;0,731100341675193;0,700700346658854;0,485974944300913;0,695756807484417;0,764534960943756;0,690929926385137;0,577710671443225;0,255494500822283;0,331223913411543;0,16094802984476;0,400169040143812;nube
0,359561985942308;0,544801273816467;0,71122444615656;0,70145490637937;0,670359546844748;0,745162344895168;0,68161088105791;0,673274625900843;0,087612691901489;0,547839828040153;0,066652515514748;0,359209414020365;nube
0,358866412672469;0,391288188386084;0,727160137485471;0,72027862394244;0,468825205469769;0,519573987572876;0,478406308164566;0,314641016972185;0,202918552305539;0,886839722528261;0,248557707008051;0,183993238266422;nube
0,38485144149656;0,396654419969185;0,705604033790371;0,706382195055113;0,454437360672089;0,493433622195595;0,445848993533349;0,637374531551014;0,278572849861479;0,134390251682669;0,431946039807556;0,135686886359095;nube
0,513890624546611;0,665243587861375;0,679833507216815;0,581821900140372;0,696850826710583;0,720593511084975;0,610793776361018;0,465226481307277;0,112739520779868;0,302316108721417;0,168282861787389;0,476887068504096;nube
0,677435893645894;0,722291990548969;0,69695648628848;0,332701160566742;0,648156116426198;0,590410471576345;0,425577921312261;0,6647029690565;0,735280962317835;0,023489891715354;0,656797899327995;0,200052012515821;nube
0,342099750330284;0,421682783108876;0,611911704411384;0,829762861696833;0,63320497393104;0,586395178054241;0,433382672922195;0,509885679080057;0,289136679268772;0,028993686462824;0,574633176002196;0,127755022435257;nube
0,387097874947684;0,472516761726449;0,62188708535183;0,632148042892056;0,559598932192398;0,60241994634662;0,536185480492964;0,42650206912775;0,15011726250304;0,123618223621414;0,291964792234;0,156946882364684;nube
